condition_id,location_id,year,avg_rainfall,avg_temp,tonnes_pesticide
1,1,1990,1485.0,16.37,121.0
2,1,1991,1485.0,15.36,121.0
3,1,1992,1485.0,16.06,121.0
4,1,1993,1485.0,16.05,121.0
5,1,1994,1485.0,16.96,201.0
6,1,1995,1485.0,15.67,251.0
7,1,1996,1485.0,15.64,313.96
8,1,1997,1485.0,15.9,376.93
9,1,1998,1485.0,16.27,439.89
10,1,1999,1485.0,16.57,502.86
11,1,2000,1485.0,16.67,565.82
12,1,2001,1485.0,16.59,628.79
13,1,2002,1485.0,16.47,691.75
14,1,2004,1485.0,16.16,817.68
15,1,2005,1485.0,15.67,880.64
16,1,2006,1485.0,15.92,943.61
17,1,2007,1485.0,16.67,1006.57
18,1,2008,1485.0,16.71,1069.54
19,1,2009,1485.0,16.73,1132.5
20,1,2010,1485.0,16.52,1311.17
21,1,2011,1485.0,16.45,1302.63
22,1,2012,1485.0,16.7,766.25
23,1,2013,1485.0,17.41,982.32
24,2,1990,89.0,17.48,1828.92
25,2,1991,89.0,16.26,2461.8
26,2,1992,89.0,16.27,1215.47
27,2,1993,89.0,17.0,1021.89
28,2,1994,89.0,17.88,1255.02
29,2,1995,89.0,17.36,2697.09
30,2,1996,89.0,16.76,479.77
31,2,1997,89.0,17.84,401.22
32,2,1998,89.0,17.14,322.84
33,2,1999,89.0,17.97,654.45
34,2,2000,89.0,17.9,603.67
35,2,2001,89.0,18.13,710.11
36,2,2002,89.0,17.85,816.55
37,2,2004,89.0,17.38,3747.86
38,2,2005,89.0,17.19,3662.87
39,2,2006,89.0,18.13,4110.72
40,2,2007,89.0,17.42,5390.79
41,2,2008,89.0,17.55,11556.12
42,2,2009,89.0,17.78,3867.99
43,2,2010,89.0,17.59,1295.88
44,2,2011,89.0,17.79,13861.76
45,2,2012,89.0,17.91,17379.76
46,2,2013,89.0,17.65,17278.65
47,3,1990,1010.0,24.12,64.0
48,3,1991,1010.0,24.02,79.0
49,3,1992,1010.0,23.96,23.0
50,3,1993,1010.0,24.15,169.0
51,3,1994,1010.0,24.04,25.5
52,3,1995,1010.0,24.56,336.0
53,3,1996,1010.0,24.11,40.0
54,3,1997,1010.0,24.06,40.0
55,3,1998,1010.0,24.96,40.0
56,3,1999,1010.0,24.37,40.0
57,3,2000,1010.0,24.41,40.0
58,3,2001,1010.0,24.43,40.0
59,3,2002,1010.0,24.79,40.0
60,3,2004,1010.0,24.22,40.0
61,3,2005,1010.0,24.41,40.0
62,3,2006,1010.0,24.14,40.0
63,3,2007,1010.0,24.24,40.0
64,3,2008,1010.0,24.27,40.0
65,3,2009,1010.0,24.33,40.0
66,3,2010,1010.0,24.44,40.0
67,3,2011,1010.0,24.15,40.0
68,3,2012,1010.0,24.24,40.0
69,3,2013,1010.0,24.55,40.0
70,4,1990,591.0,17.46,26156.0
71,4,1990,591.0,17.67,26156.0
72,4,1991,591.0,17.64,26156.0
73,4,1991,591.0,17.86,26156.0
74,4,1992,591.0,17.09,26156.0
75,4,1992,591.0,17.51,26156.0
76,4,1993,591.0,17.32,26156.0
77,4,1993,591.0,17.53,26156.0
78,4,1994,591.0,18.17,30195.0
79,4,1994,591.0,18.31,30195.0
80,4,1995,591.0,17.74,37842.0
81,4,1995,591.0,17.62,37842.0
82,4,1996,591.0,17.64,54595.0
83,4,1996,591.0,17.97,54595.0
84,4,1997,591.0,18.29,77691.0
85,4,1997,591.0,18.54,77691.0
86,4,1998,591.0,17.23,62397.0
87,4,1998,591.0,17.52,62397.0
88,4,1999,591.0,17.15,62831.39
89,4,1999,591.0,17.71,62831.39
90,4,2000,591.0,16.98,63265.78
91,4,2000,591.0,17.66,63265.78
92,4,2001,591.0,17.71,63700.17
93,4,2001,591.0,18.42,63700.17
94,4,2002,591.0,17.58,64134.56
95,4,2002,591.0,18.07,64134.56
96,4,2004,591.0,17.67,65003.34
97,4,2004,591.0,18.11,65003.34
98,4,2005,591.0,17.32,65437.73
99,4,2005,591.0,17.83,65437.73
100,4,2006,591.0,18.1,65872.12
