yield_id,crop_id,location_id,year,hg_per_ha_yield
1,1,1,1990,36613
2,2,1,1990,66667
3,3,1,1990,23333
4,4,1,1990,12500
5,5,1,1990,7000
6,6,1,1990,30197
7,1,1,1991,29068
8,2,1,1991,77818
9,3,1,1991,28538
10,4,1,1991,6667
11,5,1,1991,6066
12,6,1,1991,20698
13,1,1,1992,24876
14,2,1,1992,82920
15,3,1,1992,40000
16,4,1,1992,3747
17,5,1,1992,4507
18,6,1,1992,24388
19,1,1,1993,24185
20,2,1,1993,98446
21,3,1,1993,41786
22,5,1,1993,7998
23,6,1,1993,29976
24,1,1,1994,25848
25,2,1,1994,81404
26,5,1,1994,7927
27,6,1,1994,24745
28,1,1,1995,31300
29,2,1,1995,111323
30,5,1,1995,11791
31,6,1,1995,28703
32,1,1,1996,32604
33,2,1,1996,106138
34,5,1,1996,15480
35,6,1,1996,21741
36,1,1,1997,31862
37,2,1,1997,109874
38,5,1,1997,12768
39,6,1,1997,28516
40,1,1,1998,33416
41,2,1,1998,127212
42,5,1,1998,14327
43,6,1,1998,28037
44,1,1,1999,37455
45,2,1,1999,142018
46,5,1,1999,17143
47,6,1,1999,24954
48,1,1,2000,38811
49,2,1,2000,141228
50,5,1,2000,15000
51,6,1,2000,30455
52,1,1,2001,38135
53,2,1,2001,148818
54,5,1,2001,20000
55,6,1,2001,28220
56,1,1,2002,39460
57,2,1,2002,153868
58,5,1,2002,20000
59,6,1,2002,31617
60,1,1,2004,46197
61,2,1,2004,149346
62,5,1,2004,13333
63,6,1,2004,31130
64,1,1,2005,45442
65,2,1,2005,167061
66,5,1,2005,17500
67,6,1,2005,31582
68,1,1,2006,50111
69,2,1,2006,170745
70,5,1,2006,20000
71,6,1,2006,30787
72,1,1,2007,46732
73,2,1,2007,188902
74,5,1,2007,20000
75,6,1,2007,35496
76,1,1,2008,50000
77,2,1,2008,193878
78,5,1,2008,20000
79,6,1,2008,40168
80,1,1,2009,55693
81,2,1,2009,219780
82,5,1,2009,16667
83,6,1,2009,40229
84,1,1,2010,66790
85,2,1,2010,231111
86,5,1,2010,16667
87,6,1,2010,39905
88,1,1,2011,59869
89,2,1,2011,242211
90,5,1,2011,18519
91,6,1,2011,42301
92,1,1,2012,67290
93,2,1,2012,250538
94,5,1,2012,13333
95,6,1,2012,41096
96,1,1,2013,69533
97,2,1,2013,260110
98,5,1,2013,10000
99,6,1,2013,41292
100,1,2,1990,16500
101,2,2,1990,78936
102,3,2,1990,28000
103,4,2,1990,16571
104,6,2,1990,6315
105,1,2,1991,19231
106,2,2,1991,90747
107,3,2,1991,26786
108,4,2,1991,24231
109,6,2,1991,10809
110,1,2,1992,22828
111,2,2,1992,107917
112,3,2,1992,24733
113,4,2,1992,40000
114,6,2,1992,9939
115,1,2,1993,12500
116,2,2,1993,111215
117,3,2,1993,23111
118,4,2,1993,50000
119,6,2,1993,8097
120,1,2,1994,4512
121,2,2,1994,95078
122,3,2,1994,21374
123,6,2,1994,7999
124,1,2,1995,16115
125,2,2,1995,136768
126,3,2,1995,19598
127,4,2,1995,12667
128,6,2,1995,8924
129,1,2,1996,17154
130,2,2,1996,134629
131,3,2,1996,17861
132,4,2,1996,14750
133,6,2,1996,13090
134,1,2,1997,21417
135,2,2,1997,141042
136,3,2,1997,15000
137,4,2,1997,40000
138,6,2,1997,8016
139,1,2,1998,17222
140,2,2,1998,160256
141,3,2,1998,15000
142,4,2,1998,24500
143,6,2,1998,8847
144,1,2,1999,22375
145,2,2,1999,153532
146,3,2,1999,13942
147,4,2,1999,27000
148,6,2,1999,10711
149,1,2,2000,36186
150,2,2,2000,166143
151,3,2,2000,13052
152,4,2,2000,69500
153,6,2,2000,9194
154,1,2,2001,27175
155,2,2,2001,147018
156,3,2,2001,12314
157,4,2,2001,27750
158,6,2,2001,11104
159,1,2,2002,33480
160,2,2,2002,183774
161,3,2,2002,12959
162,4,2,2002,33900
163,6,2,2002,10739
164,1,2,2004,31729
165,2,2,2004,203585
166,3,2,2004,12829
167,4,2,2004,43316
168,6,2,2004,13582
169,1,2,2005,33864
170,2,2,2005,216267
171,3,2,2005,12998
172,4,2,2005,33486
173,6,2,2005,15057
174,1,2,2006,65668
175,2,2,2006,220689
176,3,2,2006,12769
177,4,2,2006,56728
178,6,2,2006,15068
179,1,2,2007,85625
180,2,2,2007,189927
181,3,2,2007,13375
182,4,2,2007,119059
183,6,2,2007,12742
184,1,2,2008,44714
185,2,2,2008,236393
186,3,2,2008,13952
187,4,2,2008,61786
188,6,2,2008,11038
189,1,2,2009,30914
190,2,2,2009,250764
191,3,2,2009,14594
192,4,2,2009,90465
193,6,2,2009,15975
194,1,2,2010,25827
195,2,2,2010,270526
196,3,2,2010,15305
197,4,2,2010,30286
198,6,2,2010,14838
199,1,2,2011,23374
200,2,2,2011,292806
201,3,2,2011,16081
202,4,2,2011,100000
203,6,2,2011,17405
204,1,2,2012,25583
205,2,2,2012,304291
206,3,2,2012,16667
207,4,2,2012,206000
208,6,2,2012,17639
209,1,2,2013,33649
210,2,2,2013,303218
211,3,2,2013,17778
212,4,2,2013,60000
213,6,2,2013,19100
214,7,3,1990,41177
215,1,3,1990,2736
216,2,3,1990,40000
217,3,3,1990,9512
218,8,3,1990,89342
219,6,3,1990,7995
220,7,3,1991,40295
221,1,3,1991,4013
222,2,3,1991,40000
223,3,3,1991,10000
224,8,3,1991,83001
225,6,3,1991,8000
226,7,3,1992,42295
227,1,3,1992,3778
228,2,3,1992,40000
229,3,3,1992,9106
230,8,3,1992,90000
231,6,3,1992,8000
232,7,3,1993,42295
233,1,3,1993,2627
234,2,3,1993,70000
235,3,3,1993,8000
236,8,3,1993,88095
237,6,3,1993,8876
238,7,3,1994,58596
239,1,3,1994,2463
240,2,3,1994,90000
241,3,3,1994,8750
242,8,3,1994,83192
243,6,3,1994,10000
244,7,3,1995,51000
245,1,3,1995,3517
246,2,3,1995,76738
247,3,3,1995,14615
248,8,3,1995,81138
249,6,3,1995,11855
250,7,3,1996,48077
251,1,3,1996,6993
